
 2 	 31	 4
 2 	 26	 3
 2 	 26	 2
 2 	 31	 5
 2 	 31	 0
 2 	 0	 0
 2 	 10	 7
 2 	 31	 1
 2 	 0	 2
 2 	 15	 3
 2 	 10	 0
 2 	 0	 3
 2 	 16	 3
 2 	 5	 2
 0 	 5	 1
 0 	 0	 5
 0 	 5	 3
 0 	 0	 3
 0 	 0	 6
 0 	 10	 0
 0 	 21	 3
 0 	 0	 7
 0 	 10	 1
 0 	 26	 0
 0 	 17	 3
 0 	 10	 3
 0 	 26	 1
 0 	 18	 3
 0 	 26	 2
 0 	 5	 4
 2 	 5	 0
 2 	 31	 2
 2 	 5	 3
 3 	 14	 2
 2 	 31	 3
 2 	 10	 1
 2 	 0	 1
 2 	 0	 4
 3 	 25	 2
 2 	 5	 1
 2 	 10	 2
 3 	 25	 0
 3 	 16	 4
 2 	 10	 3
 3 	 19	 4
 3 	 14	 3
 1 	 4	 6
 1 	 35	 2
 0 	 0	 0
 1 	 4	 5
 1 	 35	 0
 0 	 0	 1
 1 	 35	 3
 1 	 30	 2
 0 	 21	 0
 0 	 5	 2
 0 	 0	 2
 0 	 21	 1
 0 	 10	 2
 0 	 5	 0
 0 	 21	 2
 1 	 9	 4
 3 	 25	 3
 3 	 18	 4
 3 	 15	 4
 3 	 14	 0
 3 	 20	 4
 3 	 17	 4
 3 	 9	 3
 3 	 25	 1
 3 	 4	 2
 3 	 34	 4
 3 	 9	 2
 3 	 34	 6
 3 	 29	 7
 3 	 9	 0
 3 	 14	 1
 3 	 29	 6
 1 	 34	 7
 1 	 20	 4
 1 	 17	 4
 1 	 34	 6
 1 	 4	 7
 1 	 15	 4
 1 	 34	 5
 1 	 25	 2
 1 	 30	 1
 1 	 14	 3
 1 	 19	 4
 1 	 30	 3
 1 	 14	 2
 1 	 4	 4
 1 	 35	 1
 1 	 30	 0
 3 	 4	 3
 3 	 4	 1
 3 	 16	 5
 3 	 9	 1
 3 	 4	 0
 3 	 15	 5
 3 	 29	 5
 3 	 34	 7
 3 	 13	 7
 3 	 29	 4
 3 	 34	 5
 3 	 3	 4
 3 	 24	 7
 3 	 24	 6
 3 	 34	 3
 3 	 13	 6
 1 	 20	 5
 1 	 3	 4
 1 	 9	 0
 1 	 4	 2
 1 	 34	 3
 1 	 4	 3
 1 	 4	 1
 1 	 19	 5
 1 	 25	 3
 1 	 4	 0
 1 	 18	 5
 1 	 25	 1
 1 	 16	 4
 1 	 17	 5
 1 	 25	 0
 1 	 18	 4
 3 	 24	 5
 3 	 34	 2
 3 	 13	 5
 3 	 24	 4
 3 	 19	 6
 3 	 13	 4
 3 	 19	 5
 3 	 18	 6
 3 	 34	 1
 3 	 8	 7
 3 	 17	 6
 3 	 34	 0
 3 	 20	 5
 3 	 3	 0
 3 	 29	 3
 3 	 8	 6
 1 	 14	 0
 1 	 8	 4
 1 	 28	 7
 1 	 24	 7
 1 	 3	 7
 1 	 17	 6
 1 	 9	 2
 1 	 3	 6
 1 	 16	 6
 1 	 24	 6
 1 	 24	 5
 1 	 15	 6
 1 	 9	 3
 1 	 24	 4
 1 	 3	 5
 1 	 9	 1
 3 	 33	 7
 3 	 16	 6
 3 	 18	 5
 3 	 33	 6
 3 	 15	 6
 3 	 29	 2
 3 	 17	 7
 3 	 33	 5
 3 	 8	 5
 3 	 16	 7
 3 	 13	 3
 3 	 29	 1
 3 	 15	 7
 3 	 33	 4
 3 	 29	 0
 3 	 33	 2
 1 	 23	 3
 1 	 14	 1
 1 	 33	 7
 1 	 12	 6
 1 	 8	 7
 1 	 20	 6
 1 	 12	 5
 1 	 8	 6
 1 	 33	 6
 1 	 12	 4
 1 	 8	 5
 1 	 19	 6
 1 	 33	 5
 1 	 29	 4
 1 	 18	 6
 1 	 33	 4
 3 	 12	 7
 3 	 17	 5
 3 	 33	 1
 3 	 12	 6
 3 	 8	 4
 3 	 33	 0
 3 	 28	 7
 3 	 13	 2
 3 	 15	 0
 3 	 28	 3
 3 	 13	 1
 3 	 12	 3
 3 	 28	 2
 3 	 28	 5
 3 	 12	 2
 3 	 12	 1
 1 	 7	 3
 1 	 7	 2
 1 	 24	 2
